Key,Default,Description,,,
contextTokens,null (uncapped),Token budget for auto-injected context per turn. Set to an integer (e.g. 1200) to cap. Truncates at word boundaries,,,
contextCadence,1,Minimum turns between context() API calls (base layer refresh),,,
dialecticCadence,2,"Minimum turns between peer.chat() LLM calls (dialectic layer). Recommended 1–5. In tools mode, irrelevant — model calls explicitly",,,
dialecticDepth,1,Number of .chat() passes per dialectic invocation. Clamped to 1–3,,,
dialecticDepthLevels,null,"Optional array of reasoning levels per pass, e.g. [""minimal"", ""low"", ""medium""]. Overrides proportional defaults",,,
,,,,"[""minimal"", ""low"",",
,,,"""medium""]",,
,,,,,
