Key,,Default,,,,Description,
dialecticReasoningLevel,,'low',,,,"Base reasoning level: minimal, low, medium, high, max",
dialecticDynamic,,true,,,,"When true, model can override reasoning level per-call via tool param",
dialecticMaxChars,,600,,,,Max chars of dialectic result injected into system prompt,
recallMode,,'hybrid',,,,"hybrid (auto-inject + tools), context (inject only), tools (tools only)",
writeFrequency,,'async',,,,"When to flush messages: async (background thread), turn (sync), session (batch on end), or integer N",
saveMessages,,true,,,,Whether to persist messages to Honcho API,
observationMode,,'directional',,,,directional (all on) or unified (shared pool). Override with observation object for granular control,
messageMaxChars,,25000,,,,Max chars per message sent via add_messages(). Chunked if exceeded,
dialecticMaxInputChars,,10000,,,,Max chars for dialectic query input to peer.chat(),
sessionStrategy,,'per-,,,,"per-directory, per-repo, per- session, or global",
,,,'per-,,,,
,,,directory',,,,session
