"% 
% Online",Method,"Score                    
% MiniWob",Qwen2.5-VL-3B,23.3                    %,GUI-Rise-3B,"36.6            
% OSWorld",UI-TARS-2B,6.5 (15 steps)          %,GUI-Rise-2B,"8.7 (15 steps)  
%"
