MODEL SIZE,2K CONTEXT,32K CONTEXT,128K CONTEXT
4B parameters,~0.2GB,~3GB,~12GB
8B parameters,~0.3GB,~5GB,~20GB
70B parameters,~1.6GB,~27GB,~42GB
