TaxonomyFocus
"Brain-inspired:implicit,explicit,agentic"
Forms–functions–dynamics
"Efficiency-focused:memory,toollearning,planning"
Substrate–cognition–subject
Evolutionary:storage–reflection–experience
Graph-orientedlifecycle
Structural+Empiricalanalysis
