Method,SingleHop F1↑ B1↑ J↑,,,Multi-Hop F1↑ B1↑ J↑,,,OpenDomain F1↑ B1↑ J↑,,,Temporal F1↑ B1↑ J↑,,,,,
LoCoMo(RAG) A-Mem Mem0 MemoryOS Memory-SFT,12.25 9.77 13.81 21.62 16.93 44.76 27.29 18.63 43.93 31.89 23.05 52.72 34.64 23.73 56.90,,,13.69 10.96 20.48 13.82 11.45 34.93 18.59 13.86 37.35 13.80 12.78 31.33 20.80 16.26 37.35,,,11.59 8.30 15.96 34.67 29.13 49.38 34.03 24.77 52.27 40.74 33.67 57.36 46.47 37.35 63.27,,,9.38 8.15 4.65 25.77 22.14 36.43 26.90 21.06 31.40 28.74 21.44 23.64 47.18 34.58 54.65,,,,,
Memory-R1-PPO,32.52,24.47,53.56,26.86,23.47,42.17,45.30,39.18,64.10,41.57,26.11,47.67,41.05,32.91,57.54
Memory-R1-GRPO,35.73,27.70,59.83,35.65,30.77,53.01,47.42,41.24,68.78,49.86,38.27,51.55,45.02,37.51,62.74
