Method,SingleHop F1↑ B1↑ J↑,Multi-Hop F1↑ B1↑ J↑,OpenDomain F1↑ B1↑ J↑,Temporal F1↑ B1↑ J↑
BASE PPO GRPO,19.82 15.78 46.44 28.60 19.02 50.63 30.10 20.00 49.37,11.57 10.22 24.10 26.57 22.72 40.96 25.29 22.69 44.58,25.37 20.04 45.67 41.06 35.60 58.73 43.01 37.39 65.06,28.94 24.19 29.46 43.92 29.73 50.00 47.69 33.36 50.00
BASE PPO GRPO,23.61 17.78 60.67 34.92 25.69 59.00 33.98 25.54 58.16,17.86 14.40 43.37 25.30 22.66 42.17 25.50 21.63 46.99,31.39 24.34 65.75 43.51 38.00 65.34 44.72 48.99 64.65,32.66 27.51 40.31 42.52 30.10 41.86 43.54 35.52 39.92
BASE PPO GRPO,34.60 26.82 55.23 37.59 31.92 63.18 38.32 30.64 63.18,24.24 21.45 38.55 28.21 24.57 50.60 22.71 20.40 42.17,39.79 34.53 56.95 48.46 42.44 72.76 46.70 41.70 67.13,34.98 29.39 33.33 43.78 34.73 50.78 50.50 36.60 60.47
